id,name,host_id,host_name,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room,log_price,log_minimum_nights,log_reviews_per_month,is_highly_reviewed,nights_availability_interaction,last_review_year,last_review_month,is_recent_review,name_sentiment
2539,Clean & quiet apt home by the park,2787,John,Kensington,40.64749,-73.97237,149,1,9,2018-10-19,0.21,6,365,True,False,False,False,True,False,5.0106352940962555,0.6931471805599453,0.1906203596086497,0,365,2018,10,0,0.32222222222222224
2595,Skylit Midtown Castle,2845,Jennifer,Midtown,40.75362,-73.98377,225,1,45,2019-05-21,0.38,2,355,False,True,False,False,False,False,5.420534999272286,0.6931471805599453,0.32208349916911333,1,355,2019,5,1,0.0
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Clinton Hill,40.68514,-73.95976,89,1,270,2019-07-05,4.64,1,194,True,False,False,False,False,False,4.499809670330265,0.6931471805599453,1.7298840655099674,1,194,2019,7,1,-0.09999999999999999
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,East Harlem,40.79851,-73.94399,80,10,9,2018-11-19,0.1,1,0,False,True,False,False,False,False,4.394449154672439,2.3978952727983707,0.09531017980432487,0,0,2018,11,0,0.19999999999999998
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Murray Hill,40.74767,-73.975,200,3,74,2019-06-22,0.59,1,129,False,True,False,False,False,False,5.303304908059076,1.3862943611198906,0.4637340162321401,1,387,2019,6,1,0.007142857142857145
5121,BlissArtsSpace!,7356,Garon,Bedford-Stuyvesant,40.68688,-73.95596,60,45,49,2017-10-05,0.4,1,0,True,False,False,False,True,False,4.110873864173311,3.828641396489095,0.33647223662121295,1,0,2017,10,0,0.0
5178,Large Furnished Room Near B'way ,8967,Shunichi,Hell's Kitchen,40.76489,-73.98493,79,2,430,2019-06-24,3.47,1,220,False,True,False,False,True,False,4.382026634673881,1.0986122886681098,1.4973884086254776,1,440,2019,6,1,0.15714285714285714
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Upper West Side,40.80178,-73.96723,79,2,118,2017-07-21,0.99,1,0,False,True,False,False,True,False,4.382026634673881,1.0986122886681098,0.688134638736401,1,0,2017,7,0,0.2555555555555556
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Chinatown,40.71344,-73.99037,150,1,160,2019-06-09,1.33,4,188,False,True,False,False,False,False,5.017279836814924,0.6931471805599453,0.8458682675776092,1,188,2019,6,1,0.15000000000000002
5295,Beautiful 1br on Upper West Side,7702,Lena,Upper West Side,40.80316,-73.96545,135,5,53,2019-06-22,0.43,1,6,False,True,False,False,False,False,4.912654885736052,1.791759469228055,0.3576744442718159,1,30,2019,6,1,0.425
